,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
75,/datc/ortho/Cat2_pat25_meting20_oef3.csv,0,2,83,2018-12-10 10:51:31.968148,Rogier
76,/datc/ortho/Cat2_pat17_meting20_oef3.csv,0,4,115,2018-12-10 10:52:08.983571,Rogier
77,/datc/ortho/Cat2_pat26_meting20_oef3.csv,0,14,120,2018-12-10 10:52:35.511447,Rogier
78,/datc/ortho/Cat2_pat28_meting20_oef3.csv,0,3,78,2018-12-10 10:52:55.369607,Rogier
79,/datc/ortho/Cat2_pat4_meting20_oef3.csv,0,11,139,2018-12-10 10:54:18.328063,Rogier
80,/datc/ortho/Cat2_pat35_meting10_oef3.csv,0,5,140,2018-12-10 10:54:35.467907,Rogier
81,/datc/ortho/Cat2_pat31_meting20_oef3.csv,0,1,48,2018-12-10 10:55:09.436242,Rogier
82,/datc/ortho/Cat2_pat8_meting20_oef3.csv,0,2,95,2018-12-10 10:55:26.560181,Rogier
83,/datc/ortho/Cat2_pat10_meting20_oef3.csv,1,1,150,2018-12-10 10:55:46.864846,Rogier
84,/datc/ortho/Cat2_pat33_meting20_oef3.csv,0,7,135,2018-12-10 10:56:18.044845,Rogier
85,/datc/ortho/Cat2_pat7_meting20_oef3.csv,0,5,133,2018-12-10 10:56:36.588576,Rogier
86,/datc/ortho/Cat2_pat1_meting20_oef3.csv,0,5,69,2018-12-10 10:56:57.342170,Rogier
87,/datc/ortho/Cat2_pat23_meting20_oef3.csv,0,5,135,2018-12-10 10:57:14.204236,Rogier
88,/datc/ortho/Cat2_pat38_meting10_oef3.csv,0,5,106,2018-12-10 10:57:38.317266,Rogier
89,/datc/ortho/Cat2_pat9_meting20_oef3.csv,0,25,179,2018-12-10 10:58:03.989802,Rogier
90,/datc/ortho/Cat2_pat22_meting20_oef3.csv,0,3,93,2018-12-10 10:58:28.272194,Rogier
91,/datc/ortho/Cat2_pat2_meting20_oef4.csv,0,20,105,2018-12-10 11:00:16.009502,Rogier
92,/datc/ortho/Cat2_pat32_meting10_oef4.csv,94,5,187,2018-12-10 11:00:36.190108,Rogier
93,/datc/ortho/Cat2_pat21_meting20_oef4.csv,0,8,85,2018-12-10 11:00:50.717119,Rogier
94,/datc/ortho/Cat2_pat14_meting20_oef4.csv,0,5,125,2018-12-10 11:01:07.576937,Rogier
